Date,Ticker,Action,Price,Shares_Traded,Position_Shares_Remaining_After_Trade,Standardized_Multiplier,Standardized_Trade,Month
2025-05-01,PANW,Initial Short,186.2700043,3,3,2.684275452072881,500.0,May
2025-05-02,ADM,Initial Buy,47.36348343,3,3,10.55665596764997,-500.0,May
2025-05-02,ZM,Initial Short,78.23000336,3,3,6.391409670521073,500.0,May
2025-05-05,VRSK,Initial Short,294.3274536,3,3,1.6987881826325153,500.0,May
2025-05-06,EQNR,Initial Buy,22.90471077,3,3,21.82957056392465,-499.99999999999994,May
2025-05-06,SKM,Initial Buy,21.79000092,3,3,22.946304675970612,-499.99999999999994,May
2025-05-07,MAA,Initial Short,164.8200073,3,3,3.033612291315558,499.99999999999994,May
2025-05-08,IR,Initial Short,79.21096802,3,3,6.3122571595609696,499.99999999999994,May
2025-05-08,PBR,Initial Buy,11.32837963,3,3,44.136938938371365,-500.0,May
2025-05-09,FN,Initial Short,202.6199951,3,3,2.467673537121707,500.0,May
2025-05-09,RES,Initial Buy,4.769999981,3,3,104.82180335253969,-500.00000000000006,May
2025-05-12,NVDA,Initial Short,122.9914627,3,3,4.065322820166769,500.0,May
2025-05-12,SKM,Stop-Loss Sell,20.01,3,0,22.946304675970612,459.155556566172,May
2025-05-13,PAYX,Initial Short,151.2599945,3,3,3.305566694305281,500.0,May
2025-05-14,ALB,Initial Short,60.68407822,3,3,8.239393505942916,499.99999999999994,May
2025-05-14,FN,Stop-Loss Buy,229.84,3,0,2.467673537121707,-567.1700857720532,May
2025-05-14,NVDA,Stop-Loss Buy,131.975,3,0,4.065322820166769,-536.5209791915094,May
2025-05-14,TARS,Initial Buy,42.90000153,3,3,11.655011239343423,-500.0,May
2025-05-15,LOW,Initial Short,232.4499969,3,3,2.1510002437861937,500.0,May
2025-05-16,EZPW,Initial Buy,13.96000004,3,3,35.81661880854837,-500.0,May
2025-05-16,TER,Initial Short,82.60430145,3,3,6.0529535535464545,500.0,May
2025-05-16,ZM,Stop-Loss Buy,84.61,3,0,6.391409670521073,-540.777172222788,May
2025-05-19,D,Initial Buy,55.52817535,3,3,9.004437780432129,-500.00000000000006,May
2025-05-19,NXPI,Initial Short,210.3600006,3,3,2.376877726629936,500.0,May
2025-05-22,ALB,PT1 Buy,55.79,1,2,8.239393505942916,-153.2252545655184,May
2025-05-22,VRSK,Stop-Loss Buy,314.645,3,0,1.6987881826325153,-534.5152077244078,May
2025-05-23,BRO,Initial Short,110.8199997,3,3,4.51182098315779,500.0,May
2025-05-23,NXPI,PT1 Buy,190.29,1,2,2.376877726629936,-150.76535420013684,May
2025-05-28,EDU,Initial Buy,47.36000061,3,3,10.55743229645199,-499.99999999999994,May
2025-05-28,MMM,Initial Short,148.6600037,3,3,3.36337944003428,500.0,May
2025-05-28,NCNO,Initial Short,26.78000069,3,3,18.670649257552352,500.0,May
2025-05-29,NCNO,Stop-Loss Buy,28.885,3,0,18.670649257552352,-539.3017038043997,May
2025-06-04,NXPI,Stop-Loss Buy,210.3600006,2,0,2.376877726629936,-333.3333333333333,June
2025-06-05,ALB,Stop-Loss Buy,60.68407822,2,0,8.239393505942916,-333.33333333333326,June
2025-06-10,TER,Stop-Loss Buy,88.185,3,0,6.0529535535464545,-533.7797091194941,June
2025-06-13,EQNR,PT1 Sell,26.525,1,2,21.82957056392465,193.00978640270046,June
2025-06-16,ADM,PT1 Sell,53.84,1,2,10.55665596764997,189.45678576609146,June
2025-06-16,PBR,PT1 Sell,12.965,1,2,44.136938938371365,190.74513777866156,June
2025-06-17,PANW,Stop-Loss Buy,201.625,3,0,2.684275452072881,-541.2170380241946,June
2025-06-17,RES,PT1 Sell,5.255,1,2,104.82180335253969,183.612858872532,June
