ticker,sector,trade,enter_from,enter_to,stoploss,pt1,pt2,pt3,pt4,e_report,observation
MCD,Consumer Cyclical,short,310.01,305.98,332.635,286.005,264.515,238.815,213.96,4/29/2025,4/1/2025
VNET,Technology,buy,7.67,8.3,7.225,9.12,10.19,11.26,,6/4/2025,4/1/2025
LUNG,Healthcare,buy,6.48,7.07,6.06,7.49,8.175,9.545,,5/7/2025,4/3/2025
HWM,Industrials,short,132,128.01,140.91,116.135,101.675,93.325,84.975,5/1/2025,4/3/2025
JD,Consumer Cyclical,buy,39.2,40.27,36.335,44.675,49.56,54.445,,5/15/2025,4/4/2025
EXPD,Industrials,short,116,107.23,120.54,99.18,87.315,75.13,,5/6/2025,4/4/2025
VALE,Basic Materials,buy,8.86,9.31,8.26,10.425,11.77,12.805,,4/23/2025,4/7/2025
TOL,Consumer Cyclical,short,104.89,94.99,112.79,95.89,86.535,74.73,61.06,5/20/2025,4/7/2025
OPRA,Communication Services,buy,12.82,14.69,11.81,15.08,16.215,12.35,,4/24/2025,4/8/2025
FI,Technology,short,206.45,202.86,220.64,190.495,176.335,151.255,126.085,4/22/2025,4/8/2025
KC,Technology,buy,11.18,12.96,10.585,13.15,14.44,17.02,,5/28/2025,4/9/2025
LIN,Basic Materials,short,433.07,408.64,459.72,384.365,350.38,305.98,261.575,5/1/2025,4/9/2025
DDL,Consumer Defensive,buy,2,2.22,1.875,2.43,2.75,3.07,,5/12/2025,4/10/2025
CCI,Real Estate,short,96.55,91.17,102.295,82.635,70.85,59.065,47.28,4/30/2025,4/10/2025
BILI,Communication Services,buy,15.59,16.57,14.4,17.725,19.425,22.825,,5/22/2025,4/11/2025
APPF,Technology,short,224.92,214.75,239.22,197.445,173.98,150.52,127.055,4/24/2025,4/11/2025
BZUN,Consumer Cyclical,buy,2.19,2.34,2.06,2.495,2.715,3.16,,5/27/2025,4/14/2025
CLX,Consumer Defensive,short,142.27,137.7,152.38,121.3,102.325,83.255,,5/5/2025,4/14/2025
AMRX,Healthcare,buy,7.02,7.26,6.475,7.98,8.79,10.415,,5/2/2025,4/15/2025
VMC,Basic Materials,short,248.2,243.28,265.405,218.98,194.675,170.37,146.06,4/30/2025,4/15/2025
ATHM,Communication Services,buy,24.66,26.13,22.89,27.82,30.21,32.6,,5/14/2025,4/17/2025
SFM,Consumer Defensive,short,160.98,157.17,172.53,139.515,119.83,100.145,80.46,4/30/2025,4/17/2025
FLG,Financial Services,buy,10.32,10.59,9.56,12.105,13.76,15.415,,4/25/2025,4/21/2025
IONQ,Technology,short,25.88,24.47,27.44,21.925,18.485,16.765,15.045,5/7/2025,4/21/2025
SPRY,Healthcare,short,14.93,13.76,15.855,12.47,10.605,8.74,7.81,5/8/2025,4/22/2025
TAP,Consumer Defensive,buy,56.73,58.71,52.88,64.63,71.47,85.15,,5/8/2025,4/22/2025
EWT,Emerging Markets,buy,43.91,44.76,39.87,50.26,56.19,62.18,,,4/23/2025
IIPR,Real Estate,short,52.83,51.21,57.05,44.155,40.165,36.17,30.075,5/7/2025,4/23/2025
EWA,Emerging Markets,buy,23.9,24.38,22.005,27.64,31.215,34.6,,,4/24/2025
MNST,Consumer Defensive,short,59.71,58.5,62.865,54.655,50.205,45.845,42.34,5/1/2025,4/24/2025
THC,Healthcare,buy,120.93,125.22,113.17,135.055,146.65,169.835,,4/29/2025,4/25/2025
EYPT,Healthcare,short,6.72,6.44,7.18,5.855,5.15,4.445,3.74,5/14/2025,4/25/2025
EWM,Emerging Markets,buy,23.27,23.45,21.455,25.9,28.415,30.925,,,4/28/2025
RTX,Industrials,short,125.51,122.4,134.95,108.9,93.425,79.985,73.265,7/24/2025,4/28/2025
JJSF,Consumer Defensive,buy,126.4,129.1,118.9,146.89,166.225,181.055,,5/6/2025,4/29/2025
SPIR,Industrials,short,11.53,10.26,12.175,9.825,8.97,7.255,6.4,5/13/2025,4/29/2025
CAG,Consumer Defensive,buy,23.81,24.4,22.475,28.48,32.78,36.96,,7/10/2025,4/30/2025
WMB,Energy,short,60,59.04,63.24,55.585,51.6,47.615,43.625,5/5/2025,4/30/2025
ADM,Consumer Defensive,buy,47.12,47.9,43.795,53.84,60.095,63.22,,5/6/2025,5/1/2025
PANW,Technology,short,187.64,182.36,201.625,167.865,150.085,132.31,114.525,5/19/2025,5/1/2025
CRML,Basic Materials,buy,1.5,1.63,1.35,1.83,2.105,2.38,,5/19/2025,5/2/2025
ZM,Technology,short,78.3,77.18,84.61,71.91,66.24,60.58,54.91,5/19/2025,5/2/2025
